allocation_id,project_id,collaborator_id,allocation_percentage
39e58ff0-92f8-47d4-8750-3f1dc33a1f6c,ff37d19c-2e76-428b-8735-44f9ea83bf00,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,50
8f9b72ae-d85c-46bd-adda-4f8dcea60f4c,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,0bbb2599-11ce-4dd2-b45e-d1f03139d32c,75
9f294a8b-d184-4c39-8476-7556f97be2dd,6ba25efe-311c-4eb6-a095-eef68dedf9fb,6601ddd0-3170-4437-a8f7-ef5a060edf5b,50
8e867f3c-a487-4eab-accb-461a9d132363,44656d6b-81fb-48b3-89a7-d91fef2ae713,badcc32a-c159-4f53-8a0f-4efbedcd465e,25
a867a096-edd8-47c8-9be7-173706b89231,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,01a9e71f-de8a-474b-8f36-d58b47378190,50
076979d6-4477-4442-b187-53e6d4578ad9,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,01a9e71f-de8a-474b-8f36-d58b47378190,75
c32d4526-b3e4-410a-85f5-0c522e2fbf77,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,e767dcea-b0e6-4969-a213-42b0f1eedba3,50
59dcabd0-56fe-4fb9-abe9-e2074f199ec0,d4aac9a3-3ed8-456c-9a09-dfa052828d80,439472e6-da58-4e8a-a25d-6b29afffcfd2,50
24ac2130-deaf-428d-ae70-983801902620,70286046-49bc-473f-ad7b-f656218a1536,663f1c97-9562-49f0-a5d7-b8756dadd6c7,100
11d059b2-6699-4d99-a847-bce790fa6b57,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,439472e6-da58-4e8a-a25d-6b29afffcfd2,100
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,25
87cdb6a1-bf01-4e32-977d-6e7e07d924ce,dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,747b6dba-c8fe-4ccd-88b8-d9c6ed3049cf,100
74222167-6b7a-4460-a04e-46cb3712f2d1,dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,b41b3143-8b10-450c-9570-4f32702cdd20,25
4fc77768-5ebb-4ca5-a84b-f9625744f596,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,01a9e71f-de8a-474b-8f36-d58b47378190,100
f10013a7-c6de-42f0-930a-c1c7b8ba8368,7de31a51-6694-4343-90ba-58e3d2762bdc,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,50
e222b6a6-15bf-4e97-98a2-1f1c914dcfae,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,100
c122b5b3-284c-43d2-a7d4-15b60d77c5a0,74672cd9-362f-4e5c-93cd-6268610cf373,4ccc9bc2-a53f-4a28-abf3-e3fc21813d25,50
14e286e5-ac89-46bc-8cbd-3c039e2aa4ac,d4aac9a3-3ed8-456c-9a09-dfa052828d80,b41b3143-8b10-450c-9570-4f32702cdd20,50
6c8c3b6a-a974-4079-b16f-da0a45a88829,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,b41b3143-8b10-450c-9570-4f32702cdd20,25
6a07f213-7129-4ec7-9b69-554d7c54535f,6ba25efe-311c-4eb6-a095-eef68dedf9fb,2d534dd0-cf8e-4c5a-8cc5-6569f9e8a369,25
832920b7-c143-4426-b72f-871a45ee432d,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,badcc32a-c159-4f53-8a0f-4efbedcd465e,50
1c6345ab-6e0e-41e8-985d-3f861d2324e6,dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,439472e6-da58-4e8a-a25d-6b29afffcfd2,100
97d7a560-adb1-4670-ad9f-b00d4882d73c,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,118a9d29-2f92-4996-99f1-95d014822f53,25
4ef492c1-aac9-4316-86e5-27537c93f6cc,74672cd9-362f-4e5c-93cd-6268610cf373,118a9d29-2f92-4996-99f1-95d014822f53,25
fc04a168-652f-4b49-b873-e57f0ba078e8,dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,3a9bedd4-0f12-49e0-a18f-f6b6b535106e,100
345512f7-01f7-47ec-8e06-30cd996d5c50,d4aac9a3-3ed8-456c-9a09-dfa052828d80,4ccc9bc2-a53f-4a28-abf3-e3fc21813d25,100
c47104c0-3613-4e15-b200-c2614d29d1ab,74672cd9-362f-4e5c-93cd-6268610cf373,5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,75
4a193501-4169-49fc-83a0-0c6f2321d1e1,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,01a9e71f-de8a-474b-8f36-d58b47378190,25
7f54a511-01fa-464e-9eb7-4b5653ffd3a2,7de31a51-6694-4343-90ba-58e3d2762bdc,01a9e71f-de8a-474b-8f36-d58b47378190,25
2112507c-2cfa-45b0-ae3f-683abf3c5140,44656d6b-81fb-48b3-89a7-d91fef2ae713,439472e6-da58-4e8a-a25d-6b29afffcfd2,50
